forgolódik,morgolódik
férgesedik,mérgesedik
férgesedik,kérgesedik
fennszorul,bennszorul
fenntartat,benntartat
fensőséges,bensőséges
fodrosodik,bodrosodik
fodrozódik,bodrozódik
félegyenes,célegyenes
fagyasztás,fogyasztás
falborítás,felborítás
felaranyoz,fölaranyoz
felautózik,fölautózik
felbattyog,fölbattyog
felbillent,fölbillent
felbolydul,fölbolydul
felbolydít,fölbolydít
felbolygat,fölbolygat
felborogat,fölborogat
felbuggyan,fölbuggyan
felbátorít,fölbátorít
felcicomáz,fölcicomáz
felcikázik,fölcikázik
felcsapong,fölcsapong
felcsattan,fölcsattan
felcsattog,fölcsattog
felcsendül,fölcsendül
felcsenget,fölcsenget
felcsillan,fölcsillan
felcsillog,fölcsillog
felcsiszol,fölcsiszol
felcsoszog,fölcsoszog
felcsuklik,fölcsuklik
felcsíptet,fölcsíptet
felcsönget,fölcsönget
felcsörlőz,fölcsörlőz
felcsörtet,fölcsörtet
felcsúszik,fölcsúszik
feldagaszt,földagaszt
feldarabol,földarabol
feldekorál,földekorál
feldörzsöl,földörzsöl
feldübörög,földübörög
feldühödik,földühödik
felemelget,fölemelget
felemleget,fölemleget
felevickél,fölevickél
felfakaszt,fölfakaszt
felfedezte,fölfedezte
felfekszik,fölfekszik
felfogadás,félfogadás
felforrósí,fölforrósí
felfortyan,fölfortyan
felfoszlik,fölfoszlik
felfrissít,fölfrissít
felfrissül,fölfrissül
felfuvaroz,fölfuvaroz
felfénylik,fölfénylik
felfújódik,fölfújódik
felfúvódik,fölfúvódik
felfűződik,fölfűződik
felgyorsul,fölgyorsul
felgyorsít,fölgyorsít
felgyullad,fölgyullad
felgyógyul,fölgyógyul
felgyógyít,fölgyógyít
felgyújtat,fölgyújtat
felgépesít,fölgépesít
felgöngyöl,fölgöngyöl
felhabosít,fölhabosít
felhabozik,fölhabozik
felhabzsol,fölhabzsol
felhajigál,fölhajigál
felhajszol,fölhajszol
felhajózik,fölhajózik
felhangzik,fölhangzik
felhasogat,fölhasogat
felhasznál,fölhasznál
felhegeszt,fölhegeszt
felhorkant,fölhorkant
felhorzsol,fölhorzsol
felhuzigál,fölhuzigál
felháborít,fölháborít
felhívogat,fölhívogat
felhörpint,fölhörpint
felhúzogat,fölhúzogat
felhúzódik,fölhúzódik
felilleszt,fölilleszt
felingerel,fölingerel
felinteget,fölinteget
felinvitál,fölinvitál
felismerte,fölismerte
feljelenik,följelenik
feljogosít,följogosít
feljárogat,följárogat
feljátszik,följátszik
felkacsint,fölkacsint
felkapcsol,fölkapcsol
felkarikáz,fölkarikáz
felkasíroz,fölkasíroz
felkattint,fölkattint
felkavarog,fölkavarog
felkenődik,fölkenődik
felkerekít,fölkerekít
felkerepel,fölkerepel
felkokszol,fölkokszol
felkurbliz,fölkurbliz
felkurjant,fölkurjant
felkésztet,fölkésztet
felköszönt,fölköszönt
fellapátol,föllapátol
fellebbent,föllebbent
fellicitál,föllicitál
fellobbant,föllobbant
fellobogóz,föllobogóz
fellovagol,föllovagol
fellátogat,föllátogat
fellépcsőz,föllépcsőz
felmagasul,fölmagasul
felmagasít,fölmagasít
felmaródik,fölmaródik
felmelegít,fölmelegít
felmenekül,fölmenekül
felmenetel,fölmenetel
felmereszt,fölmereszt
felmorzsol,fölmorzsol
felmutogat,fölmutogat
felmászkál,fölmászkál
felnyargal,fölnyargal
felnyergel,fölnyergel
felnyurgul,fölnyurgul
felnyársal,fölnyársal
felnyüszít,fölnyüszít
felnöveszt,fölnöveszt
felocsúdik,fölocsúdik
feloldódik,föloldódik
felolvaszt,fölolvaszt
felpasszol,fölpasszol
felpattant,fölpattant
felpattint,fölpattint
felperzsel,fölperzsel
felpezsdít,fölpezsdít
felpezsdül,fölpezsdül
felpillant,fölpillant
felpiperéz,fölpiperéz
felpislant,fölpislant
felpiszkál,fölpiszkál
felpolíroz,fölpolíroz
felpárolog,fölpárolog
felpöccent,fölpöccent
felpúposít,fölpúposít
felragaszt,fölragaszt
felrakodik,fölrakodik
felrakódik,fölrakódik
felreccsen,fölreccsen
felrezzent,fölrezzent
felrikkant,fölrikkant
felrobbant,fölrobbant
felrázódik,fölrázódik
felserkent,fölserkent
felsikkant,fölsikkant
felskiccel,fölskiccel
felspannol,fölspannol
felsugároz,fölsugároz
felszabdal,fölszabdal
felszaggat,fölszaggat
felszarvaz,fölszarvaz
felszentel,fölszentel
felszenved,fölszenved
felszikkad,fölszikkad
felszolgál,fölszolgál
felszurkál,fölszurkál
felszáguld,fölszáguld
felszállít,fölszállít
felszántat,fölszántat
felszökdel,fölszökdel
felszökken,fölszökken
feltakarít,föltakarít
feltelepít,föltelepít
feltelepül,föltelepül
feltetszik,föltetszik
feltevődik,föltevődik
feltisztul,föltisztul
feltolódik,föltolódik
feltornyoz,föltornyoz
feltrappol,föltrappol
feltupíroz,föltupíroz
feltámaszt,föltámaszt
feltámogat,föltámogat
feltételez,föltételez
feltétetik,föltétetik
feltőkésít,föltőkésít
felugraszt,fölugraszt
felvakkant,fölvakkant
felverődik,fölverődik
felvetődik,fölvetődik
felvidámul,fölvidámul
felvidámít,fölvidámít
felvillant,fölvillant
felvilágol,fölvilágol
felvonalaz,fölvonalaz
felvonszol,fölvonszol
felvágódik,fölvágódik
felvásárol,fölvásárol
felvételez,fölvételez
felzászlóz,fölzászlóz
feláldozik,föláldozik
feláldozta,föláldozta
feláramlik,föláramlik
felébreszt,fölébreszt
felélénkít,fölélénkít
felélénkül,fölélénkül
felépíttet,fölépíttet
felérkezik,fölérkezik
felértékel,fölértékel
felőrlődik,fölőrlődik
felöltözik,fölöltözik
felülbírál,fölülbírál
felülhalad,fölülhalad
felülkerül,fölülkerül
felülmarad,fölülmarad
felülnézet,fölülnézet
felütközik,fölütközik
fenntartat,fönntartat
felsőbbség,fensőbbség
fejlesztés,fejvesztés
feldagaszt,felragaszt
felhorzsol,felmorzsol
feliramlik,feláramlik
felkattant,felpattant
felkattint,felpattint
felkepeszt,felrepeszt
felkutatás,felmutatás
fellobbant,felrobbant
feloldozás,feláldozás
felpillant,felvillant
felrikkant,felsikkant
feltételez,felvételez
fonalféreg,fonálféreg
forgáspont,forráspont
fotoriport,fotóriport
félbeharap,félreharap
félbemetsz,félremetsz
földagaszt,fölragaszt
fölhorzsol,fölmorzsol
fölkattint,fölpattint
föllobbant,fölrobbant
fölpillant,fölvillant
fölrikkant,fölsikkant
föltételez,fölvételez
feltörődik,feltűrődik
fogadatlan,fogazatlan
fogadtatás,fogantatás
felcsenget,felcsönget
felcseszik,felcsúszik
felfújódik,felfúródik
felfújódik,felfúvódik
felfúródik,felfúvódik
felkelepel,felkerepel
felkontyol,felkortyol
felpillant,felpislant
feltűnődik,feltűrődik
felverődik,felvetődik
félretetet,félrevetet
fölcsenget,fölcsönget
fölfújódik,fölfúvódik
fölpillant,fölpislant
fölverődik,fölvetődik
felcsönget,felcsörget
felrakodik,felrakódik
félretetet,félretétet
fészeklakó,fészekrakó
fölrakodik,fölrakódik
felcsörget,felcsörtet
felhörpent,felhörpint
felkattant,felkattint
felpattant,felpattint
felépítget,felépíttet
félretehet,félretetet
félreveret,félrevetet
félreveret,félrevezet
félrevetet,félrevezet
fölpattant,fölpattint
fölpöccent,fölpöccint
fellengzés,fellengzős
feltisztel,feltisztul
feltételes,feltételez
felvillant,felvillanó
fiatalkori,fiatalkorú
féloldalas,féloldalaz
félreugrál,félreugrás
fénymásolt,fénymásoló
gyermekfej,gyermektej
gyermekkor,gyermeksor
gyermeklap,gyermeknap
gyermekkar,gyermekkor
takaródzik,vakaródzik
tehetetlen,lehetetlen
tehetséges,lehetséges
tőtávolság,lőtávolság
tatárjárás,határjárás
töltekezik,költekezik
teleakaszt,beleakaszt
telebarmol,belebarmol
telebeszél,belebeszél
telebömböl,belebömböl
telecifráz,belecifráz
telecsobog,belecsobog
telediktál,belediktál
teledöfköd,beledöfköd
teledöngöl,beledöngöl
teleénekel,beleénekel
teleereszt,beleereszt
telefektet,belefektet
telefirkál,belefirkál
telefordít,belefordít
telefuttat,belefuttat
telefüstöl,belefüstöl
teleharsog,beleharsog
telehorkol,belehorkol
telehullat,belehullat
telehullik,belehullik
telekiabál,belekiabál
teleköpköd,beleköpköd
telekörmöl,belekörmöl
telekürtöl,belekürtöl
telelinkel,belelinkel
telelocsol,belelocsol
telenyomat,belenyomat
teleokádik,beleokádik
teleprésel,beleprésel
telepumpál,belepumpál
teleragyog,beleragyog
telerajzol,belerajzol
telerendel,belerendel
telerondít,belerondít
teleröffen,beleröffen
telesikolt,belesikolt
telespékel,belespékel
teleszarik,beleszarik
teleszögez,beleszögez
teletalpal,beletalpal
teletankol,beletankol
teletömköd,beletömköd
teletűzdel,beletűzdel
televagdal,belevagdal
telezsúfol,belezsúfol
terjedelem,gerjedelem
terjesztet,gerjesztet
tipográfia,topográfia
tápvezeték,távvezeték
tehetetlen,temetetlen
tomográfia,topográfia
terjesztés,termesztés
terjesztet,termesztet
terjesztet,terpesztet
termesztet,terpesztet
törölközik,törülközik
túldagaszt,túlragaszt
túlgépesít,túlképesít
túlgépesít,túlnépesít
túlképesít,túlnépesít
túlérkezik,túlétkezik
túltesztel,túltisztel
tovareppen,tovaröppen
továbbfejt,továbblejt
továbbkölt,továbbtölt
térdhajlás,térdhajtás
tollasodik,tollasozik
tovaszakad,tovaszalad
telenyomda,telenyomta
torokfájás,torokfájós
továbbfejt,továbbfest
továbbküld,továbbküzd
tartalékol,tartalékos
természeti,természetű
tisztasági,tisztaságú
továbbutal,továbbutaz
többszörös,többszöröz
tönkremenő,tönkrement
tulajdonol,tulajdonos
túlhatárol,túlhatároz
túlszámlál,túlszámláz
idepillant,idevillant
ilyenfajta,ilyesfajta
idecseppen,idecsöppen
idepillant,idepislant
irányvonal,irányvonat
vakaródzik,takaródzik
végtelenít,légtelenít
veselkedik,leselkedik
völgyecske,hölgyecske
végtelenít,jégtelenít
veselkedik,viselkedik
vádhatóság,vámhatóság
vadtalanít,vastalanít
viaszirány,visszirány
világnyelv,virágnyelv
világtalan,virágtalan
vagonlakás,vagonrakás
végigbotoz,végigmotoz
végigdörög,végiggörög
végigdörög,végigpörög
végigdörög,végigzörög
végigeszik,végigiszik
végigeszik,végigúszik
végigforog,végigmorog
végiggörög,végigpörög
végiggörög,végigzörög
végighebeg,végiglebeg
végighuhog,végigsuhog
végighuhog,végigzuhog
végigiszik,végigúszik
végigkavar,végigzavar
végigkopog,végigtopog
végigköhög,végigröhög
végigkutat,végigmutat
végiglobog,végigrobog
végigomlik,végigömlik
végigporol,végigsorol
végigporoz,végigsoroz
végigpörög,végigzörög
végigsuhan,végigzuhan
végigsuhog,végigzuhog
vezérfonal,vezérvonal
virágállat,virágillat
vándormese,vándorvese
végiglebeg,végiglibeg
végigrepít,végigröpít
végigrepül,végigröpül
végigsivít,végigsüvít
végigsorol,végigsúrol
visszabánt,visszaránt
visszabont,visszaront
visszafagy,visszahagy
visszafejt,visszarejt
visszafogy,visszarogy
visszakölt,visszatölt
visszaleng,visszazeng
visszamárt,visszazárt
visszasért,visszatért
visszatesz,visszavesz
végigbogoz,végigbotoz
végigdalol,végigdanol
végigdöcög,végigdörög
végigdudál,végigdumál
végighalad,végighasad
végigkocog,végigkopog
végiglapít,végiglazít
végigmorog,végigmozog
végigmulat,végigmutat
végigpofoz,végigporoz
végigpöfög,végigpörög
végigremeg,végigrezeg
végigsikít,végigsimít
végigsikít,végigsivít
végigsimít,végigsivít
visszaágaz,visszaáraz
visszabánt,visszabont
visszafagy,visszafogy
visszafejt,visszafojt
visszahall,visszahull
visszaidéz,visszaigéz
visszaránt,visszaront
visszatart,visszatért
visszatilt,visszatölt
visszavesz,visszavisz
végigterel,végigterül
végigvitat,végigvitet
veszekedés,veszekedős
vezérfonal,vezérfonál
visszacsap,visszacsíp
visszafejt,visszafest
visszagyúr,visszagyűr
visszaküld,visszaküzd
visszanyal,visszanyel
visszanyal,visszanyúl
visszanyel,visszanyúl
visszanyer,visszanyír
visszaszed,visszaszid
visszaszór,visszaszúr
visszaszór,visszaszűr
visszaszúr,visszaszűr
visszautal,visszautál
varázsszem,varázsszer
végbezárat,végbezáraz
végighasad,végighasal
végigporol,végigporoz
végigsorol,végigsoroz
végigvizel,végigvizez
véleményes,véleményez
veteményes,veteményez
visszaárad,visszaáraz
visszacsal,visszacsap
visszadöng,visszadönt
visszanyel,visszanyer
visszanyel,visszanyes
visszanyer,visszanyes
visszaszed,visszaszeg
visszaszól,visszaszór
visszatérő,visszatért
vízszintes,vízszintez
öltözködik,öntözködik
összealvad,összeolvad
összeaszik,összeeszik
összeaszik,összeiszik
összeaszik,összeúszik
összedagad,összeragad
összedobog,összerobog
összeeszik,összeiszik
összeeszik,összeúszik
összeforog,összemorog
összegázol,összemázol
összehebeg,összelebeg
összehever,összekever
összehúzat,összezúzat
összeiszik,összeúszik
összejárat,összezárat
összekavar,összezavar
összelehet,összetehet
összeomlik,összeömlik
összesorol,összetorol
összesuhan,összezuhan
összetetet,összevetet
összehozat,összehúzat
összeiszik,összeizzik
összeültet,összeüttet
összebújik,összebúvik
összecseng,összecsöng
összegyújt,összegyűjt
összehabar,összehadar
összehajol,összehatol
összekajál,összekakál
összekapar,összekavar
összekócol,összekódol
összemásol,összemázol
összemorog,összemozog
összeremeg,összerezeg
összeröfög,összeröhög
összesíbol,összesípol
összeszart,összeszórt
összetehet,összetetet
összeülhet,összeültet
összeveret,összevetet
összeveret,összevezet
összevetet,összevezet
összeágyaz,összeágyúz
összeállat,összeállít
összebékél,összebékül
összedobál,összedobol
összegyűjt,összegyűlt
összekakál,összekakil
összelapol,összelapul
összepisál,összepisil
összevetet,összevetít
összeágyal,összeágyaz
összedobog,összedobol
összefogat,összefogaz
összekapar,összekapat
összelehel,összelehet
összenevel,összenevet
összenevel,összenevez
összenevet,összenevez
összeolvad,összeolvas
összerohad,összerohan
összeterel,összeterem
összevizel,összevizez
rektorátus,lektorátus
romtalanít,lomtalanít
rangjelzés,hangjelzés
rosszabbít,hosszabbít
rikoltozik,sikoltozik
romladozik,bomladozik
reformáció,deformáció
remonstrál,demonstrál
rángatózik,ringatózik
referencia,reverencia
rácseppent,rácsippent
ráfreccsen,ráfröccsen
rászeletel,rászemetel
rendelvény,rendezvény
részegedik,részesedik
rálöttyent,rálöttyint
ráolvasgat,ráolvastat
röntgengép,röntgenkép
ráfagyaszd,ráfagyaszt
ráfüggeszd,ráfüggeszt
rendszeres,rendszerez
revolveres,revolverez
zajoskodik,bajoskodik
zörgölődik,dörgölődik
zörömbölés,dörömbölés
lehetetlen,tehetetlen
lehetséges,tehetséges
lőtávolság,tőtávolság
légtelenít,végtelenít
leselkedik,veselkedik
lektorátus,rektorátus
lomtalanít,romtalanít
legerjeszt,megerjeszt
lábkormány,bábkormány
lealkonyul,bealkonyul
leállítgat,beállítgat
leapplikál,beapplikál
learchivál,bearchivál
leárnyékol,beárnyékol
lebandukol,bebandukol
lebarangol,bebarangol
lebélyegez,bebélyegez
lebeszélés,bebeszélés
lebicsakol,bebicsakol
lebilleget,bebilleget
lebirkózik,bebirkózik
lebiztosít,bebiztosít
lebonyolít,bebonyolít
lebotorkál,bebotorkál
lebuszozik,bebuszozik
lecementez,becementez
lecsalogat,becsalogat
lecsapódás,becsapódás
lecsapódik,becsapódik
lecsattant,becsattant
lecsavaroz,becsavaroz
lecseppent,becseppent
lecsippent,becsippent
lecsomagol,becsomagol
lecsövezik,becsövezik
lecsukódik,becsukódik
lecsúszkál,becsúszkál
lecsusszan,becsusszan
lecsúsztat,becsúsztat
ledolgozik,bedolgozik
ledomborít,bedomborít
ledorombol,bedorombol
ledorongol,bedorongol
ledrogozik,bedrogozik
ledugaszol,bedugaszol
leegyeztet,beegyeztet
leeresztet,beeresztet
leeszkábál,beeszkábál
lefagyaszt,befagyaszt
lefátyoloz,befátyoloz
lefecskend,befecskend
lefejlődik,befejlődik
lefektetés,befektetés
lefesteget,befesteget
lefizettet,befizettet
lefogyaszt,befogyaszt
leforraszt,beforraszt
lefröcsköl,befröcsköl
lefullaszt,befullaszt
lefüggeszt,befüggeszt
lefűrészel,befűrészel
lefűszerez,befűszerez
legerjeszt,begerjeszt
legolyózik,begolyózik
legorombít,begorombít
legyakorol,begyakorol
legyalogol,begyalogol
lehajtódik,behajtódik
lehajtogat,behajtogat
lehalászik,behalászik
lehangolás,behangolás
lehasonlít,behasonlít
lehengerel,behengerel
lehesseget,behesseget
leigazodik,beigazodik
leigazolta,beigazolta
leintegrál,beintegrál
leiramodik,beiramodik
leismertet,beismertet
lekacsázik,bekacsázik
lekalauzol,bekalauzol
lekandikál,bekandikál
lekanyarít,bekanyarít
lekaristol,bekaristol
lekecmereg,bekecmereg
lekéredzik,bekéredzik
lekígyózik,bekígyózik
lekínlódik,bekínlódik
lekísértet,bekísértet
lekocogtat,bekocogtat
lekocsizik,bekocsizik
lekonferál,bekonferál
lekopácsol,bekopácsol
lekopogtat,bekopogtat
lekorlátoz,bekorlátoz
lekovácsol,bekovácsol
leköltözik,beköltözik
leköltözte,beköltözte
lekönyököl,bekönyököl
lekönyörög,bekönyörög
leköszörül,beköszörül
leközvetít,beközvetít
lekutyagol,bekutyagol
leleltároz,beleltároz
leliftezik,beliftezik
leloccsant,beloccsant
lelopódzik,belopódzik
lelöttyint,belöttyint
lelövöldöz,belövöldöz
lelyukaszt,belyukaszt
lemágnesez,bemágnesez
lemagyaráz,bemagyaráz
lemaszatol,bemaszatol
lemélyeszt,bemélyeszt
lemérlegel,bemérlegel
lemodellez,bemodellez
lemontíroz,bemontíroz
lemosolyog,bemosolyog
lenyomódik,benyomódik
lenyomorít,benyomorít
lenyugtató,benyugtató
leolvastat,beolvastat
leosztódik,beosztódik
leosztogat,beosztogat
leóvakodik,beóvakodik
leöltöztet,beöltöztet
lepáncéloz,bepáncéloz
lepatakzik,bepatakzik
lepecsétel,bepecsétel
lependerít,bependerít
lependerül,bependerül
lepermetez,bepermetez
lepókhálóz,bepókhálóz
lepokrócoz,bepokrócoz
lepontosít,bepontosít
leporlaszt,beporlaszt
lepottyant,bepottyant
lerakosgat,berakosgat
leraktároz,beraktároz
leráncigál,beráncigál
lerázkódik,berázkódik
lereteszel,bereteszel
lerikácsol,berikácsol
lerittyent,berittyent
lerogyaszt,berogyaszt
lerohangál,berohangál
lerothaszt,berothaszt
lesavanyít,besavanyít
leskálázik,beskálázik
leslattyog,beslattyog
leslisszol,beslisszol
lesodródik,besodródik
lesorjázik,besorjázik
lespriccel,bespriccel
lesprintel,besprintel
lespurizik,bespurizik
lesugárzik,besugárzik
leszabadít,beszabadít
leszabadul,beszabadul
leszakaszt,beszakaszt
leszalagoz,beszalagoz
leszámolás,beszámolás
leszedeget,beszedeget
leszelídül,beszelídül
leszemetel,beszemetel
leszigetel,beszigetel
leszippant,beszippant
leszivárog,beszivárog
leszívódik,beszívódik
leszólogat,beszólogat
leszóródik,beszóródik
leszusszan,beszusszan
leszürcsöl,beszürcsöl
leszüretel,beszüretel
leszűrődik,beszűrődik
letakargat,betakargat
letallózik,betallózik
letámolyog,betámolyog
letántorog,betántorog
letaszigál,betaszigál
letekintet,betekintet
leteljesít,beteljesít
letempózik,betempózik
letenyészt,betenyészt
letessékel,betessékel
letoloncol,betoloncol
letöltődik,betöltődik
letöltöget,betöltöget
letükrözik,betükrözik
levadászik,bevadászik
levágyódik,bevágyódik
leválhatik,beválhatik
levámoltat,bevámoltat
levándorol,bevándorol
levarázsol,bevarázsol
levergődik,bevergődik
levezényel,bevezényel
leviharzik,beviharzik
levirágzik,bevirágzik
levonultat,bevonultat
lezárkózik,bezárkózik
lezongoráz,bezongoráz
lezsugorít,bezsugorít
lezsűrizik,bezsűrizik
lombosodik,dombosodik
légtelenít,jégtelenít
legionista,légionista
ledermeszt,letermeszt
lefogyaszt,lerogyaszt
lemarkíroz,leparkíroz
letakargat,levakargat
lefagyaszt,lefogyaszt
legbeljebb,legfeljebb
lecseppent,lecsippent
lefejteget,lefesteget
legfeljebb,legföljebb
legfentebb,legföntebb
lekocogtat,lekopogtat
lekopácsol,lekovácsol
lerekeszel,lereteszel
lovagjáték,lovasjáték
lefejlődik,lefejtődik
